1,内部控制、公司治理、风险管理:关系与整合,谢志华,会计研究,2007/10/15,期刊,517,17963
2,中国建设银行辽宁分行中小企业信贷风险管理研究,王海宁,吉林大学,2012/5/1,硕士,5,1712
3,应收账款风险管理问题探讨,万F,华中师范大学,2013/5/1,硕士,,4874
4,全面风险管理模型设计与评价:基于RAROC的分析,赵家敏、陈庆辉、彭岗,国际金融研究,2005/3/12,期刊,132,3629
5,基于风险管理的内部控制体系研究,韩兆海,河南大学,2013/5/1,硕士,,758
6,基于风险管理的内部控制体系研究,周筱琪,东北师范大学,2013/5/1,硕士,,797
7,大企业税务风险管理研究,陈曦,财政部财政科学研究所,2013/5/28,硕士,,616
8,我国中小商业银行信用风险管理研究,袁黎黎,西南财经大学,2013/3/1,硕士,,483
9,中国商业银行全面风险管理问题研究,李永华,武汉大学,2013/4/1,博士,5,5424
10,中国民生银行小微企业信贷风险管理研究,李昆芳,广西大学,2013/6/1,硕士,,1071
11,基于BIM技术的全寿命周期风险管理实践研究,魏亮华,南昌大学,2013/5/27,硕士,,519
12,尚德破产中的企业风险管理问题及启示,罗志恒,财政部财政科学研究所,2013/5/21,硕士,,586
13,我国大企业税务风险管理研究,邓茜,西南财经大学,2012/3/1,硕士,1,1482
14,基于风险管理的企业内部控制研究,蔡艳娇,昆明理工大学,2012/5/1,硕士,3,3290
15,风险管理在护理管理中的应用,李亚洁、张立颖、李瑛、李利,中华护理杂志,2004/12/5,期刊,361,1894
16,商业银行个人信贷风险管理研究,肖俊斌,西北农林科技大学,2013/5/1,硕士,,481
17,基于模糊层次分析法（FAHP）的建设工程项目风险管理研究,元云丽,重庆大学,2013/4/1,硕士,,852
18,综合自然灾害风险管理――全面整合的模式与中国的战略选择,张继权、冈田宪夫、多多纳裕一,自然灾害学报,2006/2/28,期刊,180,1684
19,光大银行A分行小微企业信贷风险管理案例分析,林春,辽宁大学,2013/4/1,硕士,,1004
20,国内外商业银行操作风险管理实践探讨,杨国梁,国际金融研究,2007/12/12,期刊,48,2422
21,信用担保公司财务风险管理研究,肖崇霞,西华大学,2013/4/1,硕士,2,183
22,高层房屋建筑工程施工安全风险管理研究,刘文莉,兰州交通大学,2013/4/27,硕士,,503
23,基于风险管理的中小企业内部控制体系构建研究,邹希婧,西南财经大学,2013/4/1,硕士,,626
24,中国地下工程安全风险管理的现状、问题及相关建议,钱七虎、戎晓力,岩石力学与工程学报,2008/4/15,期刊,215,2316
25,聊城市农村信用社小额信贷风险管理问题研究,颜承锐,陕西师范大学,2013/6/1,硕士,,416
26,商业银行操作风险管理体系研究,王新华,中央民族大学,2013/5/1,硕士,,327
27,村镇银行风险管理现状、问题与对策――以浙江长兴联合村镇银行为例,蒋玉敏,浙江金融,2011/5/15,期刊,21,3141
28,T房地产公司税务风险管理研究,谭海蓉,华南理工大学,2013/6/20,硕士,,365
29,论企业内部控制的风险管理机制,李莉,企业经济,2012/3/25,期刊,17,3066
30,基于内部控制的我国商业银行操作风险管理研究,刘国华,山西财经大学,2012/2/28,硕士,2,1602
31,工程项目集成风险管理理论与方法研究,高云莉,大连理工大学,2008/7/1,博士,38,4837
32,商业银行金融产品创新的风险管理研究,徐小阳,江苏大学,2013/11/1,博士,,677
33,交通银行信贷风险管理研究,刘媛,广西大学,2013/5/1,硕士,,400
34,企业全面风险管理体系构建研究,王农跃,河北工业大学,2008/5/1,博士,46,6628
35,F公司软件项目风险管理研究,黄金和,华南理工大学,2013/6/20,硕士,,309
36,论汽车金融公司的风险管理,张元亮,上海外国语大学,2014/1/1,硕士,,385
37,内部控制、风险控制与风险管理――基于组织目标的概念解说与思想演进,丁友刚、胡兴国,会计研究,2007/12/15,期刊,233,5557
38,商业银行流动性风险管理研究,郭鸿莉,北京交通大学,2012/6/1,硕士,2,2983
39,我国证券公司全面风险管理体系建设问题探讨,易若冰,西南财经大学,2013/3/1,硕士,,158
40,R村镇银行信贷风险管理问题研究,陈瑜,兰州大学,2012/4/1,硕士,2,1010
41,交通银行全面风险管理实践与完善,边庆,云南大学,2013/4/1,硕士,,281
42,基于内部控制视角的商业银行操作风险管理研究,谢晓苗,重庆理工大学,2013/4/30,硕士,,319
43,国际水电工程EPC项目全面风险管理研究,徐志飞,华北电力大学,2013/3/1,硕士,,259
44,基于风险管理的企业内部控制研究,郭冬梅,华中师范大学,2012/4/1,硕士,2,1476
45,我国商业银行金融衍生品信用风险管理分析,徐建明,山东大学,2013/11/29,硕士,,284
46,农村中小金融机构全面风险管理体系构建研究,万克俭,南京农业大学,2012/6/1,硕士,,230
47,风险管理理论沿袭和最新研究趋势综述,张琴、陈柳钦,河南金融管理干部学院学报,2008/10/20,期刊,46,1236
48,国内商业银行合规风险管理研究,顾余金,苏州大学,2013/3/1,硕士,,203
49,隧道工程施工安全风险管理研究,张岭,石家庄铁道大学,2013/6/1,硕士,,389
50,供应链风险管理中的几个重要问题,吴军、李健、汪寿阳,管理科学学报,2006/12/30,期刊,173,6631
